Symbol	Description
43B	Secura Group Limited
43E	Anchor Resources Limited
43F	Acromec Limited
43Q	Advancer Global Limited
44TW	Lining 5xshortub25mobile_book321
45IW	Cmb 5xlongub25mobile_book43mobile_book
48HW	Lining 5xlongub25mobile_book43mobile_book
49B	Amos Group
5mobile_bookmobile_book	Tai Sin Electric Limited
5mobile_book2	Hsr Global Limited
5mobile_book4	Klw Holdings Ltd
5mobile_book5	Asiamedic Limited
5mobile_book8	Fuji Offset Plates Mfg Ltd
51mobile_book	Hiap Seng Engineering Ltd
528	Second Chance Properties Ltd
52HW	Simsci 28mobile_bookmbepw23mobile_book63mobile_book
52JW	Simsci 33mobile_bookmbecw23mobile_book63mobile_book
532	DISA
533	Abr Holdings Limited
53IW	Sia Mb Ecw23mobile_book53mobile_book
54mobile_book	Tung Lok Restaurants 2mobile_bookmobile_bookmobile_book Ltd
541	Craft Print International Ltd
543	Noel Gifts International Ltd
544	Cse Global Ltd
546	Medtecs International Corp Ltd
554	King Wan Corporation Limited
558	Ums Holdings Limited
564	Spindex Industries Limited
566	See Hup Seng Limited
569	Vicplas International Ltd
56DW	Geely 5xlongub25mobile_book93mobile_book
57mobile_book	Transit-mixed Concrete Ltd
573	Challenger Technologies Ltd
575	Asti Holdings Limited
578	Ks Energy Limited
579	Oceanus Group Limited
57HW	Dbs Mb Epw231227
57TW	Uob Mb Ecw23112mobile_book
58mobile_book	Santak Holdings Limited
581	Ite Electric Co Ltd
583	Progen Holdings Ltd
584	Oakwell Engineering Limited
585	Asian Micro Holdings Ltd
58UW	Netease 5xlongub251mobile_book31
594	Loyz Energy Limited
595	Van Der Horst Energy Limited
596	Thai Village Holdings Ltd
5A1B	Astrea V3.85%b29mobile_book62mobile_book#
5AB	Trek 2mobile_bookmobile_bookmobile_book Int'l Ltd
5AE	Pollux Properties Ltd.
5AI	Sunlight Group Hldg Ltd
5AL	Annica Holdings Limited
5AU	Ap Oil International Limited
5BI	Carriernet Global Ltd
5BS	Pne Micron Holdings Ltd
5CF	Okp Holdings Limited
5CP	Silverlake Axis Ltd
5CR	Asiatic Group (holdings) Ltd
5CT	Ecowise Holdings Limited
5DD	Micro-mechanics (holdings) Ltd
5DM	Ying Li Intl Real Estate Ltd
5DN	Ezra Holdings Limited
5DO	Sakae Holdings Ltd.
5DP	Heeton Holdings Limited
5DS	Megachem Limited
5DX	Metal Component Engg Ltd
5EB	Cfm Holdings Limited
5EC	ISR Capital
5EF	Adventus Holdings Limited
5EG	New Lakeside Holdings Limited
5EN	Midas Hldgs Limited
5EV	Hosen Group Ltd
5EW	Pan Asian Holdings Limited
5F4	Figtree Holdings Limited
5F7	Hartawan Hldgs Ltd
5FL	Falcon Energy Group Limited
5FW	Linair Technologies Limited
5FX	New Wave Holdings Ltd.
5G1	Eurosports Global Limited
5G2	Kimheng Offshore&marine Hldltd
5G3	Talkmed Group Limited
5G4	Infinio Group Limited
5G9	Tritech Group Limited
5GD	Sunpower Group Ltd.
5GF	Nico Steel Holdings Limited
5GI	Interra Resources Limited
5GJ	Ausgroup Limited
5GZ	Aa Group Holdings Ltd.
5HG	Oniontech Limited
5HH	Hln Technologies Limited
5HT	Communication Design Intl Ltd
5HV	Metax Engineering Corp Limited
5I1	Kop Limited
5I4	Icp Ltd
5IC	Sing Holdings Limited
5IE	Lorenzo International Limited
5IF	Natural Cool Holdings Limited
5IG	Gallant Venture Ltd.
5JK	Hiap Hoe Limited
5JS	Indofood Agri Resources Ltd.
5KI	Soup Restaurant Group Limited
5L7W	Geely 5xshortub25mobile_book228
5L9W	Singtelmbecw231215
5LE	Sitra Holdings (intl) Limited
5LY	Marco Polo Marine Ltd.
5MD	Soon Lian Holdings Limited
5ML	Old Chang Kee Ltd.
5MZ	Kingsmen Creatives Ltd
5NF	Mencast Holdings Ltd.
5NG	Healthway Medical Corp Ltd
5NV	Chasen Holdings Limited
5O9W	Xiaomi 5xlongub25mobile_book228
5OC	Koyo International Limited
5OI	Japan Foods Holding Ltd.
5OQ	Teho International Inc Ltd.
5OR	Heatec Jietong Holdings Ltd.
5OU	China Environment Ltd.
5OX	Mary Chia Holdings Limited
5PC	Goodland Group Limited
5PD	Hengyang Petrochem Log Limited
5PF	Jason Marine Group Limited
5PL	Sbi Offshore Limited
5PO	Hiap Tong Corporation Ltd.
5QR	Mann Seng Metal Intl Limited
5QT	Charisma Energy
5QY	Net Pacific Fin Hldgs Ltd
5RA	Asia-pacific Strategic Inv Ltd
5RC	Es Group (holdings) Limited
5RE	Smartflex Holdings Ltd
5RF	Friven & Co. Ltd.
5SO	Duty Free Internationallimited
5SR	Zhongmin Baihui Retail Grp Ltd
5SY	Chew's Group Limited
5TI	Kitchen Culture Holdings Ltd.
5TJ	Far East Group Limited
5TP	Cnmc Goldmine Holdings Limited
5TT	Keong Hong Holdings Limited
5TY	Advanced Systems Automation
5UA	Starland Holdings Limited
5UF	Maxi-cash Fin Svcs Corp Ltd
5UL	Atlantic Navigation Hldg(s)ltd
5UN	Sincap Group Limited
5UO	Sysma Holdings Limited
5UX	Oxley Holdings Limited
5VC	Kori Holdings Limited
5VI	Logistics Holdings Limited
5VJ	Halcyon Agri Corporation Ltd
5VP	Gds Global Limited
5VS	Hafary Holdings Limited
5WA	Intl Healthway Corp Limited
5WF	Isoteam Ltd.
5WG	Singapore Kitchen Equipmentltd
5WH	Rex International Holding Ltd
5WJ	Moneymax Financial Servicesltd
5WV	Asiaphos Limited
5YCW	Yzj 5xshortsg231115
6mobile_bookmobile_book	Hyflux Ltd
6AZB	Astrea Vi3%b31mobile_book318#
7QQS	Nzmobile_book71mobile_bookmobile_books 27mobile_book3mobile_book1
8A1	Forise Int
8AZ	Aztech Gbl
8B5W	Hsi 2mobile_book4mobile_bookmobile_bookmbecw23mobile_book63mobile_book
8H6W	Hsi 198mobile_bookmobile_bookmbepw23mobile_book53mobile_book
8K7	Ughealthcare
8R9W	Dbs Mb Ecw24mobile_book7mobile_book1
8U7U	Ireit Global Eur
8Y2W	Jd 5xlongub25mobile_book127
8YIW	Sunny 5xshortub25mobile_book43mobile_book
8YLS	Nz191mobile_bookmobile_books 39mobile_book7mobile_book1
8YY	Biolidics Limited
92FW	Clife 5xlongub25mobile_book43mobile_book
92NW	Nasdaq 7xshortub25mobile_book922
966W	Nky 315mobile_bookmobile_bookmbecw2312mobile_book8
96DW	Datapulse Tech W271128
97WW	Hsi 212mobile_bookmobile_bookmbecw23mobile_book728
98CW	Uob Mb Ecw23111mobile_book
9BOW	Simsci 38mobile_bookmbecw231229
9BRW	Tencentmbepw23mobile_book8mobile_book2
9CI	Capitalandinvest
9CPW	Sea Ads Mbecw23mobile_book531
9GBW	Xiaomi 5xlongub25mobile_book93mobile_book
9H9W	Dbs Mb Epw23mobile_book53mobile_book
9HNW	Cnooc 5xshortub25mobile_book228
9J2W	Petroch 5xlongub25mobile_book43mobile_book
9L1W	Tencentmbecw23mobile_book8mobile_book2
9NDW	Tencent 5xshortub25mobile_book127
9PPW	Petroch 5xshortub25mobile_book43mobile_book
9QEW	Tencent 5xshortub25mobile_book228
9RAW	Sands Mb Epw231mobile_bookmobile_book4
9TFW	Singtelmbecw23mobile_book724
9TRW	Hsi 174mobile_bookmobile_bookmbepw23mobile_book53mobile_book
9UIW	Hsi 2mobile_book8mobile_bookmobile_bookmbecw23mobile_book83mobile_book
9VBW	Meituan Mb Epw231mobile_bookmobile_book4
9VNW	Hsi 214mobile_bookmobile_bookmbecw23mobile_book63mobile_book
9W2W	Cosco 5xlongub251mobile_book31
9WSW	Uob Mb Ecw23mobile_book615
9ZIW	Nasdaq 7xlongub25mobile_book922
Amobile_book4	Asl Marine Holdings Ltd
Amobile_book5	Avjennings Limited
A17U	Ascendas Real Estate Inv Trust
A26	Sinarmas Land Limited
A3mobile_book	Aspial Corporation Limited
A31	Addvalue Technologies Ltd
A33	Blumont Group Ltd.
A34	Amara Holdings Ltd
A35	Abf Spore Bond Index Fund Etf
A5mobile_book	Rowsley Ltd.
A52	Annaik Limited
A55	Asia Enterprises Holding Ltd
A78	Liongold Corp Ltd
A7RU	Cityspring Infrastruct Trust
AAJ	Sunmoon Food Company Limited
ACV	Frasers Hospitality Trust
ADN	First Sponsor Group Limited
AFC	Yuuzoo Corporation
AFUS	Nx151mobile_bookmobile_bookz 25mobile_book6mobile_book1
AGS	The Hour Glass Limited
AIY	Ifast Corporation Ltd.
AJ2	Ouhua Energy Holdings Limited
AJBU	Keppel Dc Reit
AOF	Amplefield Limited
AP4	Riverstone Holdings Limited
AU8U	Capitaretail China Trust
AUE	United Fiber System Limited
AVM	Boustead Projects Limited
AVX	Hl Global Enterprises Limited
AW9U	First Real Estate Inv Trust
AWC	Lindeteves-jacoberg Ltd
AWG	Aei Corporation Ltd
AWI	Thakral Corporation Ltd
AWK	Fuxing China Group Limited
AWM	Shanghai Turbo Enterprises Ltd
AWV	Captii Limited
AWX	Aem Holdings Ltd
AWZ	Multi-chem Limited
AXB	Yongnam Holdings Limited
AYN	Global Testing Corporation Ltd
AYV	Acma Ltd.
AZA	Ipc Corporation Limited
AZG	8telecom Intl Holdings Co Ltd
AZR	United Food Holdings Limited
AZT	Lottvision Limited
Bmobile_bookZ	China Fishery Group Limited
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B9S	Cosmosteel Holdings Limited
BAC	Jacks International Limited
BAI	S I2i Limited
BAZ	Lion Asiapac Ltd
BBP	Hor Kew Corporation Limited
BBW	Azeus Systems Holdings Ltd.
BCD	China Yuanbang Prop Hldgs Ltd
BCV	Qian Hu Corporation Limited
BCY	Powermatic Data Systems Ltd
BCZ	Travelite Holdings Ltd.
BDA	Pne Industries Ltd
BDR	Willas-array Elec (hldgs) Ltd
BDU	Federal Int(2mobile_bookmobile_bookmobile_book) Ltd
BDX	Gsh Corporation Limited
BEC	Brc Asia Limited
BEH	China International Hldgs Ltd
BEI	Lht Holdings Limited
BEV	Swing Media Technology Grp Ltd
BEW	Jb Foods Limited
BEZ	Beng Kuang Marine Limited
BFI	Tiong Seng Holdings Limited
BFK	Pharmesis International Ltd.
BFT	Fabchem China Limited
BFU	Tye Soon Ltd
BGK	Swiber Holdings Limited
BGO	Universal Resource & Svcs Ltd
BHD	China Mining International Ltd
BHK	Siic Environment Holdings Ltd.
BHU	Sutl Enterprise Limited
BIP	Vibrant Group Limited
BIX	Ellipsiz Ltd
BJD	Vibropower Corporation Limited
BJGS	Na161mobile_bookmobile_bookh 46mobile_book3mobile_book1
BJHS	Nx161mobile_bookmobile_bookf 26mobile_book6mobile_book1
BJIS	Nz161mobile_bookmobile_bookx 36mobile_book8mobile_book1
BJV	Yamada Green Resources Limited
BJZ	Koda Ltd
BKA	Sin Heng Heavy Machinery Ltd
BKK	Luxking Group Holdings Limited
BKV	Dukang Distillers Hldgs Ltd
BKW	Datapulse Technology Limited
BKX	Yongmao Holdings Limited
BKZ	Suntar Eco-city Limited
BLA	Union Steel Holdings Limited
BLH	Hai Leck Holdings Limited
BLR	Darco Water Technologies Ltd
BLS	Hotung Investment Hldgs Ltd
BLU	Grp Ltd
BLW	Global Palm Resources Hlgs Ltd
BLZ	Advanced Holdings Ltd.
BMGU	Bhg Retail Reit
BMT	New Silkroutes Group Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BNE	Kencana Agri Limited
BPF	Yhi International Limited
BQC	Xpress Holdings Ltd
BQD	Envictus International Hldgltd
BQF	Xmh Holdings Ltd.
BQM	Tiong Woon Corp Holding Ltd
BQN	Bh Global Corporation Limited
BQP	Southern Packaging Group Ltd
BRD	Sapphire Corporation Limited
BRS	Usp Group Limited
BS6	Yangzijiang Shipbldg Hldgs Ltd
BSL	Raffles Medical Group Ltd
BTE	Bund Center Investment Ltd
BTF	Debao Property Development Ltd
BTG	Hg Metal Manufacturing Ltd
BTJ	A-sonic Aerospace Limited
BTM	Penguin International Limited
BTOU	Manulife Us Reit
BTP	Baker Technology Limited
BTWZ	Hyflux S$5mobile_bookmobile_bookm6%perpcapsec
BTX	Anchun International Hldgs Ltd
BTY	Full Apex (holdings) Limited
BUOU	Frasers Logistics & Ind Trust
BVA	Top Glove Corporation Bhd
BVP	Aims Property Securities Fund
BVQ	Procurri Corporation Limited
BWCU	Ec World Reit
BWM	China Jinjiang Env Hldg Co Ltd
BXE	Cdw Holding Limited
BYI	Phillip Sgx Apac Div Reit Etf
BYJ	Phillip Sgx Apacdiv Reit Etfs$
Cmobile_book4	Casa Holdings Limited
Cmobile_book5	Chemical Industries (f.e.) Ltd
Cmobile_book6	Csc Holdings Ltd
Cmobile_book7	Jardine Cycle & Carriage Ltd
Cmobile_book9	City Developments Limited
C13	Ch Offshore Ltd
C2PU	Parkwaylife Reit
C33	Chuan Hup Holdings Limited
C38U	Capitamall Trust
C41	Cortina Holdings Limited
C52	Comfortdelgro Corporation Ltd
C6L	Singapore Airlines Ltd
C7mobile_book	City Developments Ltd Nccps
C76	Creative Technology Ltd
C8R	Jiutian Chemical Group Limited
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CDVZ	Krisenergy S$139.464mz24mobile_book131
CDXW	Krisenergy Ltd. W24mobile_book131
CEDU	Dasin Retail Trust
CFA	Nikkoam-stc Asia_xj Reit Etf
CGN	Best World International Ltd
CHJ	Uni-asia Group Limited
CHZ	Hrnetgroup Limited
CIN	Courage Marine Group Limited
CJLU	Netlink Nbn Trust
CJN	British & Malayan Hldg Limited
CLN	Apac Realty Limited
CLR	Lion-phillip S-reit Etf
CMGS	Nx181mobile_bookmobile_booka 28mobile_book5mobile_book1
CMOU	Keppel-kbs Us Reit
CNE	Mindchamps Preschool Limited
COI	Nikkoam-stc Asia_xj Reit Us$
CRPU	Sasseur Reit
CTO	Hong Lai Huat Group Limited
CUEW	S&p 5xlongsg25mobile_book228
CUFW	Hscei 7xlongsg24mobile_book327
CUJW	Djia 5xlongsg25mobile_book911
CUMW	Djia 5xshortsg25mobile_book911a
CUNW	Nasdaq 7xshortsg241mobile_book16
CUPW	Nasdaq 7xlongsg241mobile_book16
CUQW	Djia 7xshortsg241mobile_book16
CUTW	S&p 7xshortsg241218
CUUW	Hsi 7xlongsg231215
CVAW	Hsi 7xlongsg24mobile_book215
CVDW	Hsi 7xlongsg24mobile_book327
CVEW	Sti 5xlongsg25mobile_book529
CVFW	Djia 5xshortsg25mobile_book911
CVGW	Hscei 5xlongsg24mobile_book912
CVHW	Hstech 5xlongsg2311mobile_book2
CVIW	Hsi 7xshortsg241218
CVJW	Simsci 5xlongsg26mobile_book226
CVKW	Hstech 7xlongsg24mobile_book416
CWBU	Cromwell Reit Eur
CWCU	Cromwell Reit Sgd
CWFW	Hscei 7xlongsg24mobile_book424
CWGW	Hstech 5xshortsg24mobile_book327
CWHW	Sti 7xlongsg25mobile_book529
CWIW	Djia 5xlongsg25mobile_book911a
CWKW	Hscei 5xshortsg24mobile_book912
CWLW	Hsi 7xlongsg241mobile_book3mobile_book
CWMW	Hstech 5xshortsg241218
CWPW	Simsci 5xshortsg26mobile_book226
CWQW	Hstech 7xshortsg24mobile_book416
CXBW	S&p 5xshortsg25mobile_book228
CXCW	Hstech 5xlongsg24mobile_book424
CXEW	Ndx 5xshortsg24mobile_book425
CXGW	Sti 2xshortsg25mobile_book529
CXIW	S&p 7xshortsg241mobile_book16
CXJW	Hscei 7xshortsg24mobile_book912
CXKW	Hsi 5xshortsg241mobile_book3mobile_book
CXLW	Simsci 7xlongsg26mobile_book226a
CXMW	Hstech 7xlongsg24mobile_book4mobile_book2
CXRW	Hscei 7xshortsg231215
CXS	Uobam Pingan Chinext S$
CXU	Uobam Pingan Chinext Us$
CY6U	Ascendas India Trust
CYAW	S&p 5xlongsg25mobile_book228a
CYB	Icbc Csop Cgb Etf Us$d
CYC	Icbc Csop Cgb Etf S$
CYDW	Ndx 5xlongsg24mobile_book425
CYEW	Ndx 5xshortsg24mobile_book425a
CYFW	Hscei 7xlongsg231215
CYGW	Sti 5xshortsg25mobile_book529
CYIW	S&p 7xlongsg241mobile_book16
CYJW	Hsi 5xlongsg24mobile_book912
CYMW	Hstech 5xlongsg241218
CYNW	Simsci 7xlongsg26mobile_book226
CYOW	Hstech 7xshortsg24mobile_book4mobile_book2
CYW	Tricklestar
CYX	Icbc Csop Cgb Etf Us$a
CZBW	Dlc Sg7xshorthsi23mobile_book92mobile_book
CZDW	Simsci 7xshortsg231215
CZEW	S&p 5xshortsg25mobile_book228a
CZFW	Ndx 5xlongsg24mobile_book425a
CZGW	Sti 7xshortsg25mobile_book529
CZHW	Hsi 7xlongsg24mobile_book912
CZIW	Hscei 7xlongsg241114
CZJW	Hsi 5xshortsg24mobile_book912
CZLW	Hsi 5xlongsg25mobile_book416
CZMW	Hsi 7xshortsg24mobile_book125
CZNW	Nasdaq 7xshortsg26mobile_book4mobile_book1
CZSW	Dlc Sg7xshortmsg23mobile_book712
CZZW	Nasdaq 7xshortsg241218
Dmobile_book1	Dairy Farm Int'l Holdings Ltd
Dmobile_book3	Del Monte Pacific Limited
Dmobile_book5	Dbs Group Holdings Ltd
Dmobile_book7	Spdr Djia Etf Trust
D5IU	Lippo Malls Indo Retail Trust
D8DU	First Ship Lease Trust
DAIW	Lenovo 5xlongsg24mobile_book215
DAKW	Wilmar 5xshortsg24mobile_book424
DAMW	Hkex 5xlongsg24mobile_book516
DAOW	Aac 5xlongsg23mobile_book62mobile_book
DATW	Aac 5xlongsg231214
DAVW	Meituan 5xlongsg231mobile_book24
DAYW	Alibaba 5xlongsg231mobile_book24
DBHW	Venture 5xlongsg23mobile_book713
DBIW	Lenovo 5xshortsg24mobile_book215
DBPW	Anta 5xlongsg24mobile_book62mobile_book
DBWW	Kuaisho 5xlongsg231mobile_book24
DBYW	Singtel 5xlongsg231214
DCDW	Geely 5xshortsg231214
DCGW	Sia 5xlongsg24mobile_book424
DCJW	Lining 5xlongsg231mobile_book19
DCQW	Hkex 5xshortsg25mobile_book2mobile_book5
DCRU	Digicore Reit Usd
DCUW	Alibaba 5xlongsg25mobile_book2mobile_book5
DCVW	Citydev 5xlongsg25mobile_book226
DCXW	Venture 5xlongsg25mobile_book226
DCZW	Aac 5xlongsg24mobile_book327
DDPW	Sgx 5xlongsg24mobile_book424
DDSW	Sats 5xlongsg25mobile_book515
DDTW	Byd 5xshortsg23mobile_book62mobile_book
DDYW	Jd 5xlongsg231mobile_book24
DDZW	Dlc Sg5xshortgeely B
DEEW	Pingan 5xlongsg24mobile_book424
DEFW	Sats 5xshortsg25mobile_book515
DEGW	Gwmotor 5xlongsg23mobile_book62mobile_book
DEHW	Xiaomi 5xlongsg2311mobile_book2
DELW	Hsbc 5xshortsg25mobile_book2mobile_book5
DEMW	Wuxibio 5xlongsg24mobile_book2mobile_book5
DENW	Dbs 5xlongsg25mobile_book226
DEOW	Dbs 5xshortsg25mobile_book226
DEPW	Cmob 5xlongsg25mobile_book327
DFEW	Yzj 5xshortsg231mobile_book24
DFIW	Ocbc 5xshortsg24mobile_book424
DFKW	Sembcorp 5xlongsg25mobile_book515
DFLW	Lining 5xlongsg24mobile_book62mobile_book
DFMW	Wuxibio 5xlongsg2311mobile_book2
DFRW	Netease 5xshortsg25mobile_book2mobile_book5
DFSW	Dlc Sg5xshortsunny B
DFTW	Alibaba 5xshortsg24mobile_book2mobile_book5
DFUW	Genting 5xlongsg25mobile_book226
DFWW	Ocbc 5xshortsg25mobile_book226
DFXW	Geely 5xlongsg24mobile_book327
DFYW	Dlc Sg5xshort Byd
DFZW	Lining 5xshortsg24mobile_book327
DGCW	Dlc Sg5xshort Galaxy A
DGEW	Areit 5xshortsg231214
DGJW	Uob 5xshortsg241mobile_book24
DGKW	Kepcorp 5xshortsg24mobile_book424
DGMW	Sembcorp 5xshortsg25mobile_book515
DGNW	Jd 5xshortsg23mobile_book62mobile_book
DGUW	Tencent 5xlongsg2311mobile_book2
DGWW	Sunny 5xshortsg24mobile_book2mobile_book5
DGYW	Byd 5xshortsg24mobile_book2mobile_book5
DHBW	Uob 5xlongsg23mobile_book713
DHEW	Dlc Sg5xshort Hkex A
DHGW	Dlc Sg5xshortwilmar B
DHHW	Uob 5xlongsg251mobile_book23
DHLU	Daiwa Hse Log Tr
DHMW	Pingan 5xshortsg23mobile_book7mobile_book5
DHNW	Kepcorp 5xlongsg24mobile_book424
DHQW	Steng 5xlongsg25mobile_book515
DHRW	Meituan 5xshortsg23mobile_book62mobile_book
DHSW	Dlc Sg5xlong Hsbc A
DHUW	Sinobio 5xlongsg2311mobile_book2
DHVW	Sinobio 5xshortsg23122mobile_book
DHWW	Tencent 5xshortsg24mobile_book2mobile_book5
DHXW	Galaxy 5xshortsg25mobile_book2mobile_book5
DHZW	Petroch 5xshortsg231mobile_book12
DIBW	Ckasset 5xshortsg231mobile_book19
DIDW	Sunny 5xlongsg231mobile_book24
DIFW	Ocbc 5xlongsg251mobile_book23
DIGW	Steng 5xshortsg25mobile_book515
DIHW	Tencent 5xlongsg231214
DIIW	Sunny 5xlongsg23mobile_book62mobile_book
DIKW	Petroch 5xlongsg241mobile_book3mobile_book
DIMW	Aia 5xshortsg25mobile_book327
DINW	Dlc Sg5xlong Byd
DIOW	Ocbc 5xlongsg25mobile_book226
DJCW	Dlc Sg5xlong Jd
DJDW	Dlc Sg5xlongjd A
DJHW	Ckasset 5xlongsg231mobile_book19
DJJW	Sats 5xlongsg231mobile_book24
DJLW	Cmb 5xlongsg24mobile_book8mobile_book1
DJNW	Xpeng 5xlongsg23mobile_book62mobile_book
DJOW	Geely 5xlongsg2311mobile_book2
DJPW	Sunny 5xlongsg24mobile_book327
DJSW	Uob 5xlongsg25mobile_book226
DKAW	Aac 5xlongsg24mobile_book2mobile_book1
DKBW	Dbs 5xlongsg24mobile_book3mobile_book6
DKEW	Dlc Sg5xlongkepcorp A
DKGW	Bilibili 5xlongsg23mobile_book8mobile_book3
DKLW	Sinobio 5xlongsg23122mobile_book
DKMW	Singtel 5xshortsg23mobile_book713
DKNW	Cspc 5xlongsg2311mobile_book2
DLDW	Dbs 5xshortsg24mobile_book3mobile_book6
DLFW	Byd 5xlongsg23mobile_book8mobile_book3
DLGW	Byd 5xlongsg23mobile_book914
DLHW	Cnooc 5xshortsg241mobile_book3mobile_book
DLJW	Baidu 5xlongsg231115
DLKW	Kingdee 5xlongsg23122mobile_book
DLNW	Xiaomi 5xshortsg23122mobile_book
DLSW	Kingsof 5xshortsg23122mobile_book
DLTW	Hkex 5xshortsg24mobile_book125
DLVW	Bilibili 5xlongsg23122mobile_book
DLZW	Yzj 5xlongsg241218
DMmobile_book	Psc Corporation Ltd
DMBW	Dlc Sg5xlong Alibaba
DMEW	Dlc Sg5xlong Meituan
DMFW	Cnooc 5xlongsg24mobile_book2mobile_book1
DMIW	Tencent 5xshortsg231214
DMKW	Bydelec 5xshortsg23mobile_book8mobile_book3
DMMW	Byd 5xshortsg23mobile_book914
DMNW	Hkex 5xlongsg2311mobile_book2
DMRW	Kuaisho 5xlongsg231115
DMYW	Sands 5xshortsg23122mobile_book
DNAW	Dlc Sg5xlongnetease A
DNFW	Dlc Sg5xlongalibaba A
DNJW	Galaxy 5xlongsg23mobile_book914
DNKW	Lining 5xlongsg231115
DNLW	Netease 5xlongsg231115
DNNW	Pingan 5xshortsg23122mobile_book
DNPW	Byd 5xlongsg23122mobile_book
DNQW	Kuaisho 5xlongsg23122mobile_book
DNSW	Dlc Sg5xlong Netease
DNVW	Jd 5xlongsg23122mobile_book
DNWW	Wilmar 5xlongsg241218
DOCW	Hsbc 5xlongsg25mobile_book2mobile_book3
DOGW	Uob 5xlongsg24mobile_book3mobile_book6
DOMW	Cosco 5xlongsg23mobile_book8mobile_book3
DONW	Galaxy 5xshortsg23mobile_book914
DOOW	Kingdee 5xshortsg23122mobile_book
DOPW	Dlc Sg5xlong Pahealth
DORW	Alibaba 5xlongsg231123
DOSW	Pingan 5xlongsg231115
DOVW	Meituan 5xshortsg23122mobile_book
DOWW	Tencent 5xlongsg23122mobile_book
DOYW	Bydelec 5xlongsg23122mobile_booka
DPBW	Wilmar 5xlongsg24mobile_book3mobile_book6
DPDW	Tencent 5xlongsg23mobile_book8mobile_book3
DPFW	Cosco 5xshortsg23mobile_book8mobile_book3
DPGW	Sgx 5xshortsg241218
DPHW	Alibaba 5xshortsg231123
DPJW	Geely 5xshortsg231115
DPKW	Kuaisho 5xshortsg23122mobile_book
DPZW	Venture 5xshortsg241218
DQCW	Cnooc 5xshortsg24mobile_book2mobile_book1
DQEW	Dbs 5xlongsg23mobile_book713
DQGW	Genting 5xshortsg24mobile_book3mobile_book6
DQHW	Wuxibio 5xshortsg23mobile_book8mobile_book3
DQJW	Ganfeng 5xlongsg23mobile_book8mobile_book3
DQKW	Sembcorp 5xshortsg241218
DQLW	Aac 5xshortsg231123
DQPW	Pingan 5xlongsg23mobile_book7mobile_book5
DQRW	Sunny 5xshortsg231115
DQSW	Jd 5xshortsg23122mobile_book
DRBW	Sia 5xshortsg24mobile_book3mobile_book6
DRCW	Ganfeng 5xshortsg23mobile_book8mobile_book3
DRHW	Tencent 5xshortsg24mobile_book411
DRMW	Bydelec 5xshortsg23122mobile_booka
DRNW	Hsi 21mobile_bookmobile_bookmobile_bookmbecw23mobile_book53mobile_book
DRX	St Group Food
DRZW	Venture 5xlongsg241218
